id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable
824169805505113046,la Dreta de l'Eixample,Eixample,41.3915725962686,2.166034151080216,Entire rental unit,Entire home/apt,2,1.0,2.0,4.0,31,720,30,60,90,365,0,0,0.0,4.75,4.94,4.63,0,0
825156495805080171,la Nova Esquerra de l'Eixample,Eixample,41.38106,2.15313,Entire rental unit,Entire home/apt,5,2.0,3.0,4.0,2,365,18,33,56,320,198,75,2.27,4.23,4.64,4.04,0,1
825160933543533852,el Barri Gòtic,Ciutat Vella,41.38115,2.17732,Entire rental unit,Entire home/apt,5,1.5,3.0,3.0,2,365,23,48,77,351,120,76,2.21,4.32,4.53,4.22,0,1
825247158381988615,la Nova Esquerra de l'Eixample,Eixample,41.3813401044702,2.152818826293061,Entire rental unit,Entire home/apt,7,2.0,4.0,4.0,2,365,6,25,50,310,216,88,2.59,4.36,4.65,4.17,0,1
825248964916528545,la Dreta de l'Eixample,Eixample,41.38635,2.16703,Entire rental unit,Entire home/apt,7,2.0,3.0,4.0,2,365,3,18,36,303,204,87,2.53,4.48,4.77,4.38,0,1
825767892028718054,el Barri Gòtic,Ciutat Vella,41.379819,2.1748252,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,1,365,11,11,11,267,12,6,0.23,5.0,4.83,4.83,0,1
825902190996835591,el Raval,Ciutat Vella,41.38139920937492,2.1655080811387664,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,32,365,29,59,89,364,0,0,0.0,4.69,4.75,4.56,0,0
826043947275498945,el Coll,Gràcia,41.42027,2.14789,Other,Entire home/apt,6,2.0,3.0,4.0,32,70,0,0,0,138,64,3,0.1,5.0,5.0,5.0,1,0
826058899941662636,el Barri Gòtic,Ciutat Vella,41.38524020363113,2.175638582723103,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,31,720,30,60,90,365,0,0,0.0,4.68,4.91,4.57,0,0
826091778835232981,el Raval,Ciutat Vella,41.3856,2.16645,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,7,720,21,21,21,21,0,0,0.0,4.69,4.75,4.56,0,0
826131804121131573,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38308960745447,2.181896282903015,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,31,720,30,60,90,365,0,0,0.0,4.77,4.94,4.61,0,0
826307632777466063,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,41.39538541775789,2.143903073076615,Private room in rental unit,Private room,1,2.0,1.0,1.0,33,360,7,37,67,342,0,0,0.0,4.69,4.84,4.5,0,0
826329168066461290,el Poble Sec,Sants-Montjuïc,41.37400896986923,2.16407208850888,Private room in rental unit,Private room,1,1.0,1.0,1.0,33,360,0,0,0,75,0,1,0.04,2.0,4.0,1.0,0,0
826343166865828207,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,41.40334,2.13806,Private room in rental unit,Private room,1,1.0,1.0,1.0,33,360,0,11,41,316,0,0,0.0,4.71,4.74,4.56,0,0
826350007515974870,l'Antiga Esquerra de l'Eixample,Eixample,41.38826829316952,2.156088407878726,Private room in rental unit,Private room,1,1.0,1.0,1.0,33,360,0,0,0,104,0,0,0.0,4.73,4.89,4.6,0,0
826622959468971587,el Camp de l'Arpa del Clot,Sant Martí,41.411101825526174,2.179224162682892,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,32,1125,0,0,0,0,128,8,0.25,4.88,5.0,4.88,1,1
826704699338808029,el Poblenou,Sant Martí,41.40034,2.20585,Other,Shared room,1,1.0,1.0,4.0,1,14,0,0,0,0,0,8,0.25,4.88,4.88,5.0,0,0
826753350641848159,Hostafrancs,Sants-Montjuïc,41.375642923283,2.1448538691915,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,2,365,25,55,85,360,174,66,1.96,4.52,4.73,4.12,0,1
